EDP Range,SLF Case 1,SLF Case 2,SLF Case 3,SLF Case 4,SLF Case 5,SLF Case 6,SLF Case 7,SLF Case 8,SLF Case 9,SLF Case 10,SLF Case 11,SLF Case 12,SLF Case 13,SLF Case 14,SLF Case 15
1.00E-20,0.436184894,2.75E-07,2.40E-08,9.13E-08,1.22E-06,7.76E-07,2.71E-07,8.37E-07,0,2.51E-06,5.48E-05,0.000366746,2.32E-06,0.00039554,0.000443057
0.05,2108.877412,34743.08364,56687.62913,77751.92932,178204.7487,310419.4795,143412.9693,312176.823,223091.5937,225127.7756,482853.8203,854363.1905,297420.22,660533.7959,1163793.241
0.1,2108.878841,46682.20535,80208.15879,107375.8752,238001.5041,421853.3272,195628.0523,423587.8873,1091614.674,297937.3761,616511.0144,1067676.508,396282.4181,820963.2217,1457517.541
0.15,2108.878921,54244.67243,95824.23355,126445.1107,275187.8281,492245.1722,228668.9193,493832.3075,1101624.384,342793.1811,696662.2487,1193263.165,457620.7861,914952.3428,1630838.833
0.2,2108.878932,59619.85483,107219.6389,140062.1033,301196.2458,541891.6837,251974.6591,543312.1323,1101624.384,373992.4088,751767.1023,1278824.513,500464.8531,978825.7266,1749076.349
0.25,2108.878935,63670.6619,115948.4964,150317.5156,320510.7648,578940.9831,269355.7879,580201.8677,1101624.384,397076.656,792353.4068,1341540.195,532255.254,1025577.975,1835817.989
0.3,2108.878935,66837.22416,122842.5466,158304.8678,335404.2905,607590.2239,282781.958,608706.0793,1101624.384,414831.4825,823553.9048,1389639.031,556755.4282,1061405.664,1902382.849
0.35,2108.878936,69376.50044,128405.6566,164673.9474,347194.7219,630302.6809,293411.8219,631289.4335,1101624.384,428861.6099,848261.301,1427698.849,576143.9184,1089744.752,1955076.764
0.4,2108.878936,71451.81311,132967.6564,169843.0263,356713.6885,648647.5276,301984.6204,649520.3949,1101624.384,440174.3908,868261.9887,1458518.729,591793.6303,1112690.815,1997759.715
0.45,2108.878936,73173.26535,136756.2934,174096.6582,364517.6893,663682.7572,308999.278,664455.5474,1101624.384,449441.0177,884731.5725,1483926.412,604622.2796,1131609.47,2032954.51
0.5,2108.878936,74618.37631,139935.1112,177636.4682,370995.5966,676152.1873,314806.7699,676837.1427,1101624.384,457128.8242,898480.9403,1505174.826,615270.5826,1147435.348,2062391.885
0.55,2108.878936,75843.57991,142625.1336,180609.8642,376428.3743,686595.882,319661.9975,687203.7362,1101624.384,463574.4371,910090.0831,1523155.722,624201.1203,1160832.787,2087304.467
0.6,2108.878936,76891.06767,144918.0804,183127.3309,381024.4915,695416.1522,323754.8476,695956.2671,1101624.384,469026.9812,919986.0204,1538523.079,631756.9061,1172288.469,2108596.727
0.65,2108.878936,77793.07544,146884.825,185273.3763,384942.0245,702919.0324,327229.736,703399.5561,1101624.384,473674.9444,928490.6705,1551768.39,638197.903,1182167.843,2126948.736
0.7,2108.878936,78574.68195,148581.0229,187113.7405,388303.0282,709341.4175,330198.4102,709769.4386,1101624.384,477663.5893,935851.5531,1563268.646,643724.7488,1190751.026,2142882.35
0.75,2108.878936,79255.69876,150050.9792,188700.3004,391203.202,714869.413,332748.613,715251.1026,1101624.384,481106.6283,942262.1928,1573318.064,648494.7008,1198256.509,2156804.988
0.8,2108.878936,79851.98362,151330.3781,190074.4993,393718.5771,719651.0933,334950.1115,719991.8295,1101624.384,484094.2797,947876.0874,1582149.698,652632.6596,1204857.289,2169039.474
0.85,2108.878936,80376.37529,152448.2534,191269.8004,395910.2552,723805.5815,336858.9888,724110.0586,1101624.384,486698.9627,952816.5176,1589950.56,656238.9764,1210692.14,2179844.919
0.9,2108.878936,80839.37295,153428.4395,192313.478,397827.8377,727429.6438,338520.7638,727701.9663,1101624.384,488979.4086,957183.5876,1596872.423,659395.0992,1215873.663,2189431.666
0.95,2108.878936,81249.63912,154290.6566,193227.9473,399511.9512,730602.5647,339972.6967,730846.3273,1101624.384,490983.6827,961059.3762,1603039.713,662167.7289,1220494.152,2197972.185
1,2108.878936,81614.3777,155051.3364,194031.7675,400996.138,733389.8053,341245.5203,733608.1625,1101624.384,492751.4425,964511.7688,1608555.35,664611.9291,1224629.947,2205609.161
