EDP Range,SLF Case 1,SLF Case 2,SLF Case 3
1e-20,0.0,0.0,0.0
0.05,7.9928022478762335,16.205354470034703,24.70495459573344
0.1,64.67612450647351,132.9132123771561,206.69111776888454
0.15000000000000002,219.708887721081,455.0996086306403,715.9986732034073
0.2,523.073537733689,1089.5926693366237,1728.467957995177
0.25,1024.7442343647733,2143.9691721469776,3423.0234956386516
0.30000000000000004,1774.3852297222504,3725.74294787857,5979.942793969979
0.35000000000000003,2821.0160700782358,5941.557350799269,9579.301149033136
0.4,4212.628827858603,8896.308658073269,14399.378431789595
0.45,5995.753952225925,12692.17568822464,20614.94736011816
0.5,8214.9762155842,17427.549710733096,28395.412576935272
0.55,10912.40530256047,23195.86889103323,37902.79492689121
0.6000000000000001,14127.10803854924,30084.368589969992,49289.57129012481
0.65,17894.511458893594,38172.76462482378,62696.39245475893
0.7000000000000001,22245.787984980394,47531.891743616776,78249.71178215004
0.75,27207.235903599554,58222.324261976864,96059.36659005929
0.8,32799.670095885886,70293.01005924659,116216.16245231169
0.8500000000000001,39037.839461492884,83779.95282412085,138789.51792144755
0.9,45929.88864814786,98704.98042222646,163825.23330936447
0.9500000000000001,53476.88243652428,115074.63934382769,191343.45181591215
1.0,61672.41135653978,132879.2561861111,221336.88414539836
1.05,70502.29674220519,152092.20684622307,253769.3684603484
1.1,79944.41240018769,172669.43238669814,288574.83578053536
1.1500000000000001,89968.63832452113,194549.23726074377,325656.7464870706
1.2000000000000002,100536.95941462398,217652.40068015907,364888.05626108893
1.25,111603.71895559163,241882.62536813156,406111.7595059157
1.3,123116.03274387056,267127.3398338518,449142.0451311
1.35,135014.36527156588,293258.86079107044,493766.0837236678
1.4000000000000001,147233.26444167213,320135.9116616712,539746.4469612456
1.4500000000000002,159702.2460350624,347605.481588039,586824.140158581
1.5,172346.81378242618,375504.9974345122,634722.2077617627
1.55,185089.59563178747,403664.76936570386,683149.8502265083
1.6,197851.57188372785,431910.65927359037,731806.9699573664
1.6500000000000001,210553.36653706367,460066.91113568016,780389.044828354
1.7000000000000002,223116.56968531024,487959.0738682222,828592.2112531122
1.75,235465.05634499138,515416.94089942897,876118.4257841612
1.8,247526.265860657,542277.4269663101,922680.5656545921
1.85,259232.40614836832,568387.3018710997,968007.3252276048
1.9000000000000001,270521.5485777431,593605.7033249895,1011847.767466954
1.9500000000000002,281338.58225036337,617806.3566102624,1053975.3974959117
2.0,291636.0007322067,640879.4374917262,1094191.6389857095
2.0500000000000003,301374.4997872409,662733.0263175723,1132328.6131029476
2.1,310523.3711155097,683294.1151165859,1168251.1433344996
2.15,319060.68423865526,702509.1451252497,1201857.9366983317
2.2,326973.2561698464,720344.0688506771,1233081.9214025775
2.25,334256.4159973288,736783.9477027246,1261889.7515260181
2.3000000000000003,340913.5786390641,751832.1125901724,1288280.5192659034
2.35,346955.64844434726,765508.929870925,1312283.743243456
2.4000000000000004,352400.2787193194,777850.2279454138,1333956.7258828604
2.45,357271.0173872896,788905.4499745115,1353381.392786583
2.5,361596.37168600707,798735.6052348512,1370660.7413893084
2.5500000000000003,365408.82596140925,807411.0952284992,1385915.034386934
2.6,368743.84623935935,815009.4907755741,1399277.875276914
2.6500000000000004,371638.9034297867,821613.3330757177,1410892.2989620774
2.7,374132.54390778014,827308.0254546738,1420907.0002736507
2.75,376263.53205636237,832179.8737050695,1429472.8082900003
2.8000000000000003,378070.08442728384,836314.3221988907,1436739.4955458648
2.85,379589.209788427,839794.4209838724,1442852.9898904639
2.9000000000000004,380856.16379436606,842699.5465953749,1447953.0341845218
2.95,381904.021640081,845104.3870158073,1452171.3165293937
3.0,382763.36710242386,847078.1897247371,1455630.072492735
3.0500000000000003,383462.0920562344,848684.2616298482,1458441.1418503753
3.1,384025.29702916666,849979.7012463397,1460705.4464832766
3.1500000000000004,384475.2807241875,851015.3370491811,1462512.8437633533
3.2,384831.6047202031,851835.8415598749,1463942.3012666774
3.25,385111.21872930333,852479.9884092225,1465062.3339370517
3.3000000000000003,385328.63176372735,852981.0191820078,1465931.6436250794
3.35,385496.11522870016,853367.0880460994,1466599.90280052
3.4000000000000004,385623.925165662,853661.7546802255,1467108.6286024547
3.45,385720.53246939264,853884.4994911412,1467492.099605474
3.5,385792.851738227,854051.2391974084,1467778.27507946
3.5500000000000003,385846.4613463967,854174.8252201288,1467989.684479291
3.6,385885.8092282743,854265.5116684132,1468144.2628667348
3.6500000000000004,385914.40063728753,854331.3838013638,1468256.1154886587
3.7,385934.9657158013,854378.741512606,1468336.2014772105
3.75,385949.6060414983,854412.4355039225,1468392.9323801845
3.8000000000000003,385959.9203805865,854436.1563354598,1468432.6858648916
3.85,385967.11067935824,854452.6784555165,1468460.2384532695
3.9000000000000004,385972.069880525,854464.0626572145,1468479.123602346
3.95,385975.453488184,854471.8212450381,1468491.9229594187
4.0,385977.7369609116,854477.0506014576,1468500.4993455682
