EDP Range,SLF Case 1,SLF Case 2,SLF Case 3
1e-20,0.0,0.0,0.0
0.001,494.59771814724365,1043.9569701201603,1680.4530534309488
0.002,1754.503287618691,3730.301727454567,6086.850737586922
0.003,3670.048213146052,7836.656645144295,12890.893442769382
0.004,6179.303880589307,13235.520262580025,21898.750593346576
0.005,9232.620444956701,19823.491090688913,32949.6944438265
0.006,12785.289651037741,27506.556438065978,45894.84710677073
0.007,16794.86920571873,36194.74513205641,60589.50381110659
0.008,21220.042731299967,45799.87725775982,76889.98326797328
0.009000000000000001,26020.131086452282,56234.63238326935,94652.42076107903
0.01,31154.9220504614,67412.26446155952,113732.52211911808
0.011,36584.66905707016,79246.66114938271,133985.83383279172
0.012,42270.18326900894,91652.59360325415,155268.3007885143
0.013000000000000001,48172.976836306545,104546.07052899356,177436.98207489905
0.014,54255.43206094794,117844.74439192045,200350.84536649546
0.015,60480.98039870542,131468.33636288176,223871.58788559856
0.016,66814.2806201115,145339.05754780892,247864.448214982
0.017,73221.38881885998,159382.0109396157,272198.98355968774
0.018000000000000002,79669.91518764503,173525.5631364506,296749.7940575358
0.019,86129.16404500525,187701.67812996713,321397.18078846135
0.02,92570.2547474235,201846.20789541092,346027.72798048763
0.021,98966.22200361035,215899.13640290132,370534.8029764008
0.022,105292.09480729427,229804.77518577452,394818.97005305067
0.023,111524.95377183134,243511.90984836448,418788.3163174694
0.024,117643.9671158532,256973.89793383874,442358.6897259053
0.025,123630.40593380459,270148.7194412651,465453.85083496175
0.026000000000000002,129467.63970153105,282998.9820048638,488005.54123030894
0.027,135141.11322392948,295491.8833442598,509953.47270856035
0.028,140638.3064354982,307599.1340746432,531245.2422262892
0.029,145948.678620448,319296.8443396237,551836.1783880399
0.03,151063.5987310986,330565.37800540694,571689.1258324763
0.031,155976.263555417,341389.17834031215,590774.1743022251
0.032,160681.60552038744,351756.5692059757,609068.3394586301
0.033,165176.19192101597,361659.5358133141,626555.2026383939
0.034,169458.11733870965,371093.4890550313,643224.5167565738
0.035,173526.8909610923,380057.0173249042,659071.785452036
0.036000000000000004,177383.32044157173,388551.62958010746,674097.8223602652
0.037,181029.39384465947,396581.4932043196,688308.2970978399
0.038,184468.16111560035,404153.1699940691,701713.2741665692
0.039,187703.6163936221,411275.35332636023,714326.7505468932
0.04,190740.58236023015,417958.609279391,726166.1972630871
0.041,193584.59768044672,424215.1241771,737252.1096800229
0.042,196241.8084584947,430058.46071887255,747607.5707450391
0.043000000000000003,198718.86449268565,435503.3245439646,757257.830830366
0.044,201022.82097946026,440565.3427714736,766229.907272075
0.045,203161.0461856416,445260.8557557795,774552.2061502201
0.046,205141.13548270985,449606.7230084186,782254.1683200318
0.047,206970.83201872295,453620.1439638393,789365.941192994
0.048,208657.95419354047,457318.4940112363,795918.0772853327
