EDP Range,SLF Case 1,SLF Case 2,SLF Case 3,SLF Case 4,SLF Case 5,SLF Case 6,SLF Case 7,SLF Case 8,SLF Case 9
1e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,158.56563608844237,330.72982706265606,742.03903306315,556.22877115834,880.0347789255355,1515.3170304772962,1066.833008041318,1477.0981070598198,2297.7684084607436
0.002,774.1849401238112,1437.1027716640256,2845.2104114841536,2291.542344352331,3377.608609251589,5357.278947450802,4061.5514909444746,5356.402279472634,7791.558354328101
0.003,1956.3520351182387,3391.3551643615065,6238.161182152259,5240.747465666138,7409.260094333032,11196.812993101472,8866.938892184762,11363.30644353794,15887.87275994671
0.004,3774.250427882161,6231.210365630488,10875.453686480541,9415.623334969678,12921.09917715032,18861.883513220102,15409.668112486139,19347.166250543978,26294.854796762364
0.005,6279.01720811904,9979.491577239363,16717.272807615012,14816.748319995522,19865.346215298665,28223.95917305937,23626.39766371406,29191.179010965403,38803.33720240549
0.006,9510.108188312875,14649.238572481632,23724.823754891913,21436.49620189721,28195.026482658217,39173.88908589126,33456.14648746069,40792.82377709921,53242.10534541056
0.007,13498.123835578273,20245.92319841195,31858.56061965839,29260.365201119155,37861.94474267568,51612.60083657665,44837.372855365626,54056.302116681916,69460.8399816964
0.008,18266.303640006718,26768.634380234977,41077.39465391968,38267.74027189557,48815.79693909803,65446.697500796006,57706.67357291628,68888.99363483462,87322.03820109722
0.009000000000000001,23831.40411867431,34210.808617802184,51338.34022535295,48432.41911240278,61003.79113861636,80586.14847550778,71998.20335356376,85199.64447604056,106696.71685220835
0.01,30204.257322784775,42560.735617428,62596.38912917152,59723.03064835017,74370.53503526098,96943.02062449686,87643.46755735097,102897.42492807414,127461.97188867614
0.011,37390.15320225672,51801.94588080587,74804.51749302287,72103.40426364182,88858.07878052766,114430.7806189397,104571.32990089273,121891.46860403813,149499.54496101345
0.012,45389.12266247131,61913.5353025502,87913.77582550993,85532.91865535616,104406.05551051896,132963.93355605437,122708.15345418664,142090.6976422612,172694.9765841491
0.013000000000000001,54196.16574959596,72870.45720051207,101873.43411906427,99966.84530972793,120951.88666053403,152457.86946157014,141978.0285719234,163403.82607462438,196937.11838462643
0.014,63801.45214990613,84643.79936529466,116631.16471162376,115356.69439584838,138431.03164764552,172828.84250636888,162303.05924892804,185739.47751649644,222117.87280475016
0.015,74190.51131349197,97201.05651668465,132133.25147192975,131650.56685101823,156777.26828526644,193994.03638841532,183603.68907828507,209006.37708555188,248132.07987841862
0.016,85344.4234989317,110506.40426665792,148324.81725009403,148793.51404595084,175922.99420704495,215871.68566843044,205799.0535814907,233113.59107342426,274877.49976433447
0.017,97240.01916542773,124520.9780004898,165150.06358511694,166727.90493530253,195799.54195972488,238381.2326540161,228807.3490844436,257970.7961095102,302254.85705954867
0.018000000000000002,109850.09151962335,139203.15832793122,182552.51796776423,185393.7996458378,216337.5019511869,261443.50557559147,252546.21049430026,283488.5647427372,330167.92370622925
0.019,123143.62516769153,154508.86356280991,200475.28483142046,204729.32783024415,237467.048470197,284980.9078063738,276933.09180221305,309578.6577807431,358523.62427500164
0.02,137086.04245131995,170391.84885708586,218861.29705835314,224671.06970616785,259118.2647284731,308917.61058789754,301885.6441804755,336154.31606311066,387232.152063753
