EDP Range,SLF Case 1,SLF Case 2,SLF Case 3,SLF Case 4,SLF Case 5,SLF Case 6,SLF Case 7,SLF Case 8,SLF Case 9
1e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,105.4062065164572,106.18445059315354,106.28226862937285,208.27365736410258,212.75313859837618,211.86281319839702,319.9767117443994,315.3671734522098,313.3718713862571
0.002,395.1354530860224,397.41126899442025,397.83861850605894,782.1032036279892,796.1764630328368,793.301220900604,1196.916891302241,1182.8463481622646,1176.3276287323076
0.003,855.5162659505802,859.6307258428334,860.6320832743208,1695.0662435316171,1722.0823131844268,1716.4436184893775,2588.2034142845732,2561.808301333869,2548.918901768191
0.004,1479.2299037812697,1485.3456955499598,1487.169266946291,2932.9725074239996,2975.431150383408,2966.403743287848,4471.116109696679,4430.4799245281,4409.705532103101
0.005,2260.8462223674273,2269.0087744377965,2271.903403086282,4485.265556846263,4545.095430814412,4532.158249580495,6828.855708128196,6772.692142872889,6742.746356948907
0.006,3195.802824436573,3205.9712828775378,3210.184582436124,6343.053286075588,6421.750917860838,6404.462823427129,9647.354301480042,9574.847938940049,9534.620435533561
0.007,4279.991302154738,4292.057514595894,4297.834490241932,8498.309156212821,8597.022521952218,8575.007883006967,12913.98356767594,12824.693252284156,12773.219131521502
0.008,5509.550263618149,5523.351795665825,5530.9337167952135,10943.472516983806,11063.057110959286,11035.996276644657,16616.908758971662,16510.7021143944,16447.141752695487
0.009000000000000001,6880.748901933124,6896.07867019899,6905.702096275376,13671.2237836522,13812.283158043527,13779.905680656528,20744.725225080543,20621.7307854876,20545.355595380915
0.01,8389.916586543824,8406.530396529322,8418.42630854731,16674.34854285536,16837.265304014876,16799.344843409173,25286.238445391322,25146.808647687056,25056.99044485212
0.011,10033.398346385604,10051.021045706115,10065.414057987695,19945.65171808974,20130.612287669443,20086.962606500212,30230.324741355955,30075.00605031916,29971.208754022628
0.012,11807.526045574337,11825.856713919076,11842.964351895687,23477.90209393854,23684.91720191842,23635.38890009487,35565.84085086394,35395.34880336473,35277.12171132583
0.013000000000000001,13708.59963107218,13727.316070876403,13747.34810634231,27263.796338621993,27492.718483931494,27437.19625111267,41281.5648380303,41096.76261754067,40963.73477732868
0.014,15732.875146261596,15751.63784659206,15774.795685220246,31295.936134480064,31546.474823260658,31484.875064195247,47366.15803354533,47168.03766593663,47019.913028792216
0.015,17876.557460847795,17895.013151041272,17921.48926890701,35566.81445328339,35838.54976394023,35770.81849804712,53808.141620079296,53597.80717548281,53434.360319023275
0.016,20135.79638977747,20153.581263684395,20183.55869073127,40068.808408846984,40361.20326622972,40287.314232636716,60595.883729603804,60374.536102714155,60195.60837341125
0.017,22506.68530902068,22523.42797715664,22557.07982627214,44794.17696039998,45106.58839101054,45026.54131004677,67717.59427621124,67486.51724141352,67292.01321051634
0.018000000000000002,24985.261648774464,25000.58585970128,25038.074900519037,49735.062267289315,50066.75183212493,49980.57078777232,75161.32559809856,74921.87292015644,74711.7570760016
0.019,27567.50882139746,27581.035982554607,27622.514259368832,54883.493837283946,55233.6373863153,55141.36930359472,82914.97753323498,82668.56097305879,82442.8545932646
0.02,30249.35925932159,30260.710779671,30306.319272997647,60231.394838766726,60599.091693520044,60500.80489157053,90966.3059207459,90714.38401753893,90473.16217933259
0.021,33026.69831892206,33035.497790121146,33085.36612150796,65770.5901032114,66154.87174667523,66050.65455323445,99302.9337715752,99047.00131285853,98790.39001058317
0.022,35895.368862868396,35901.24409157946,35955.490271280316,71492.81545368482,71892.65378669107,71782.61320335684,107912.36452813604,107653.94264126054,107382.11598814244
0.023,38851.17637390591,38853.761274838645,38912.491491941546,77389.7280732988,77804.04328156759,77688.30369197938,116781.99695856514,116522.62377368563,116235.80127100031
0.024,41889.894482475036,41888.83083954052,41952.139294086934,83452.91768451677,83880.58574930305,83759.28766447923,125899.14132293398,125640.36316961223,125338.80703101987
0.025,45007.270812428666,45002.209913748135,45070.1786903103,89673.91835249544,90113.77822925484,89987.077065931,135251.03651679744,134994.3996255276,134678.41214791583
0.026000000000000002,48199.033065593714,48189.63721690402,48262.33619900498,96044.22075753969,96495.08124056106,96363.14612961674,144824.86794876878,144571.9106355531,144241.83161050008
0.027,51460.89527856939,51446.839198693015,51524.32602336203,102555.28480622689,103015.93109225584,102878.94371527922,154607.78594814127,154360.03126534578,154016.23542748406
0.028,54788.56419500981,54769.53629643264,54851.85634809479,109198.55246983946,109667.75242998703,109525.90588277645,164586.92452921544,164345.87336971445,163988.76787997343
0.029,58177.745704447974,58153.44926161353,58240.63570441402,115965.46075386995,116441.97092029503,116295.46860267638,174749.4203632388,174516.54500761046,174146.5669706504
0.03,61624.151305002764,61594.30551264492,61686.37936021142,122847.45471454851,123330.02598631784,123179.08051810435,185082.4318283648,184859.1699268628,184476.78394305016
0.031,65123.50455245387,65087.84547611722,65184.815697668295,129836.00044832173,130323.38351933897,130168.21568260435,195573.15802396878,195360.90700633323,194966.60275942128
0.032,68671.5474624479,68629.82888326055,68731.69254487431,136922.59798852023,137413.54849935655,137254.38620744823,206208.85764888756,206008.96955591073,205603.25943820426
0.033,72264.04683621571,72216.04099196197,72322.783431731,144098.79405048766,144592.0774652478,144429.1547591579,216976.86765431342,216790.64438554057,216374.06116279587
0.034,75896.80048328752,75842.29870786426,75953.89374357779,151356.1945724932,151850.5907814436,151684.1468542875,227864.62159163688,227693.3105637498,227266.40508239722
0.035,79565.64331740329,79504.45658081889,79620.86674873492,158686.47700504222,159180.784653551,159011.06290399196,238859.66758386113,238704.45779421765,238267.79673373137
0.036000000000000004,83266.45330421826,83198.41265539751,83319.58947859361,166081.40230588912,166574.44285024045,166401.68996574427,249949.6858565627,249811.7043461119,249365.868019501
0.037,86995.1572415573,86920.11415634138,87045.99844106715,173532.82660228104,174023.44809308232,173847.91316390893,261122.50577095654,261002.81448035143,260548.3946858189
0.038,90747.73635493236,90665.56299180358,90796.08515019783,181032.71248580655,181519.7930799847,181341.72674481067,272366.1223075955,272265.71531982085,271803.31324665115
0.039,94520.23169284037,94430.82105904898,94565.90145653159,188573.13990876498,189055.59111151737,188875.24473555633,283668.71195469523,283588.51311695017,283118.7373086492
0.04,98308.74930803008,98212.01533895466,98351.5646645574,196146.3166542724,196623.08629277555,196440.71117921436,295018.6479601503,294959.50887709326,294482.97325471864
