EDP Range,SLF Case 1,SLF Case 2,SLF Case 3,SLF Case 4,SLF Case 5,SLF Case 6,SLF Case 7,SLF Case 8,SLF Case 9
1e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,122.22031012355555,121.68269209213986,122.57406485729072,123.47634444850956,122.31551122850065,121.49368288208278,123.1937242370137,121.31979911438124,122.41124400863131
0.002,517.3887687356423,515.6724374526582,518.7556582277184,521.9284418262087,517.8387214513099,514.9394894338997,521.1152235876123,514.3479046593044,518.221458491933
0.003,1203.1867124304194,1199.957528165969,1206.18732349799,1212.6861929283145,1204.2967657346117,1198.3448164044144,1211.3154839679407,1197.166226462675,1205.1560572737153
0.004,2189.3204066827425,2184.429491730127,2194.5496722333287,2205.2393043779844,2191.4221235544596,2181.6139914365,2203.4163366836738,2179.724500706814,2192.945742156134
0.005,3482.470832368907,3475.9071826023464,3490.503055607627,3506.1043554646903,3485.914322913697,3471.57624137785,3504.0319346151564,3468.8860183608217,3488.28821523088
0.006,5087.573826863929,5079.437426495889,5098.96530427215,5120.081818942391,5092.723264027092,5073.28750182954,5118.040670495793,5069.734371074243,5096.13145078871
0.007,7008.374007103333,6998.858068461524,7023.6645504793905,7050.799635679504,7015.604537722201,6990.59400285128,7049.135358548232,6986.139240973204,7020.2289799138325
0.008,9247.71787504407,9237.095991657165,9267.431729704498,9301.000728284489,9257.41327497126,9226.430583762267,9300.114297454127,9221.055904737896,9263.43371812161
0.009000000000000001,11807.72841463769,11796.34467204231,11832.374810261974,11872.7142254455,11820.279189209545,11782.99842839394,11873.054628142989,11776.703685724193,11827.872993200885
0.01,14689.917778109839,14678.178782773617,14719.991240685402,14767.365960601419,14705.719550918971,14661.87978709222,14769.424214946748,14654.681141136902,14715.06151016665
0.011,17895.264439341747,17883.632659984418,17931.244940654273,17985.85413134763,17914.716538829412,17864.11652251486,17990.158250884484,17856.04492603717,17925.97869618762
0.012,21424.268521259102,21413.256565392207,21466.621514612223,21528.603566979204,21447.77270946651,21390.26642825503,21535.71419979556,21381.3663384627,21461.12416630197
0.013000000000000001,25276.99301427114,25267.158592956494,25326.169389112547,25395.60617305306,25304.952321796907,25240.44517535714,25406.112738233172,25230.773432238213,25320.55904608968
